"id","region_id","name","description","capital","language","currency","time_zone","flag","banner_image","slug","meta_tag","meta_desc","updated_by_id","status","created_at","updated_at"
"35","2","Russia",NULL,"Moscow",NULL,"Russian Ruble (RUB)",NULL,"twemoji_flag-russia.png",NULL,"russia","Find the Best Guide for Employer of Record (EOR) and PEO Services in Russia | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Russia. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 01:38:38"
"36","2","Saudi Arabia",NULL,"Riyadh",NULL,"Saudi Riyal (SAR)",NULL,"twemoji_flag-saudi-arabia.png",NULL,"saudi-arabia","Find the Best Guide for Employer of Record (EOR) and PEO Services in Saudi Arabia | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Saudi Arabia. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 01:39:15"
"37","2","Singapore",NULL,"Singapore",NULL,"Singapore Dollar (SGD)",NULL,"twemoji_flag-singapore.png",NULL,"singapore","Find the Best Guide for Employer of Record (EOR) and PEO Services in Singapore | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Singapore. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 01:39:56"
"38","2","Sri Lanka",NULL,"Sri Jayawardenapura Kotte",NULL,"Sri Lankan Rupee (LKR)",NULL,"twemoji_flag-sri-lanka.png",NULL,"sri-lanka","Find the Best Guide for Employer of Record (EOR) and PEO Services in Sri Lanka | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Sri Lanka. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 01:41:44"
"39","2","Syria",NULL,"Damascus",NULL,"Syrian Pound (SYP)",NULL,"twemoji_flag-syria.png",NULL,"syria","Find the Best Guide for Employer of Record (EOR) and PEO Services in Syria | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Syria. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 01:42:25"
"40","2","Tajikistan",NULL,"Dushanbe",NULL,"Tajikistani Somoni (TJS)",NULL,"twemoji_flag-tajikistan.png",NULL,"tajikistan","Find the Best Guide for Employer of Record (EOR) and PEO Services in Tajikistan | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Tajikistan. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 01:48:50"
"41","2","Thailand",NULL,"Bangkok",NULL,"Thai Bhat",NULL,"twemoji_flag-thailand.png",NULL,"thailand","Find the Best Guide for Employer of Record (EOR) and PEO Services in Thailand | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Thailand. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 03:17:31"
"42","2","Timor-Leste/East Timor",NULL,"Dili",NULL,"United States Dollar (USD)",NULL,"twemoji_flag-timor-leste.png",NULL,"timor-lesteeast-timor","Find the Best Guide for Employer of Record (EOR) and PEO Services in Timor Leste | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Timor Leste. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 15:44:41"
"43","2","Turkey",NULL,"Ankara",NULL,"Turkish Lira (TRY)",NULL,"twemoji_flag-turkey.png",NULL,"turkey","Find the Best Guide for Employer of Record (EOR) and PEO Services in Turkey | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Turkey. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 06:24:01"
"44","2","Tur kmenistan",NULL,"Ashgabat",NULL,"Turkmenistan Manat (TMT)",NULL,"twemoji_flag-tur-kmenistan.png",NULL,"tur-kmenistan","Find the Best Guide for Employer of Record (EOR) and PEO Services in Tur Kmenistan | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Tur Kmenistan. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 16:02:51"
"45","2","United Arab Emirates",NULL,"Abu Dhabi",NULL,"UAE Dirham (AED)",NULL,"twemoji_flag-united-arab-emirates.png",NULL,"united-arab-emirates","Find the Best Guide for Employer of Record (EOR) and PEO Services in United Arab Emirates | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in United Arab Emirates. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-18 16:03:17"
"46","2","Uzbekistan",NULL,"Tashkent",NULL,"Uzbekistani Som (UZS)",NULL,"twemoji_flag-uzbekistan.png",NULL,"uzbekistan","Find the Best Guide for Employer of Record (EOR) and PEO Services in Uzbekistan | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Uzbekistan. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 16:04:12"
"47","2","Vietnam / Viet Nam",NULL,"Hanoi",NULL,"Vietnamese Dong (VND)",NULL,"twemoji_flag-vietnam.png",NULL,"vietnam-viet-nam","Find the Best Guide for Employer of Record (EOR) and PEO Services in Vietnam | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Vietnam. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-18 16:03:36"
"48","2","Yemen",NULL,"Sanaa",NULL,"Yemeni Rial (YER)",NULL,"twemoji_flag-yemen.png",NULL,"yemen","Find the Best Guide for Employer of Record (EOR) and PEO Services in Yemen | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Yemen. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 16:16:06"
"49","4","Algeria",NULL,"Algiers",NULL,"Algerian Dinar (DZD)",NULL,"twemoji_flag-algeria.png",NULL,"algeria","Find the Best Guide for Employer of Record (EOR) and PEO Services in Algeria | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Algeria. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-18 16:23:20"
"50","4","Angola",NULL,"Luanda",NULL,"Angolan Kwanza (AOA)",NULL,"twemoji_flag-angola.png",NULL,"angola","Find the Best Guide for Employer of Record (EOR) and PEO Services in Angola | FindYourEOR","Looking for an Employer of Record or PEO services in Angola? FindYourEOR offers a comprehensive guide to the best EOR and PEO service providers in Angola. Our directory includes detailed information about local employment regulations, tax laws, and business practices, so you can make an informed decision about which provider is right for your business.","2","active","2023-06-29 15:00:39","2023-04-18 16:27:40"
"51","4","Benin",NULL,"Porto-Novo",NULL,"West African CFA Franc (XOF)",NULL,"twemoji_flag-benin.png",NULL,"benin","Find the Best Guide for Employer of Record (EOR) and PEO Services in Benin | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Benin. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 10:23:03"
"52","4","Botswana",NULL,"Gaborone",NULL,"Botswana Pula (BWP)",NULL,"twemoji_flag-botswana.png",NULL,"botswana","Find the Best Guide for Employer of Record (EOR) and PEO Services in Botswana | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Botswana. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 10:27:14"
"53","4","Burkina Faso",NULL,"Ouagadougou",NULL,NULL,NULL,"twemoji_flag-burkina-faso.png",NULL,"burkina-faso","Find the Best Guide for Employer of Record (EOR) and PEO Services in Burkina Faso | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Burkina Faso. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 10:25:36"
"54","4","Burundi",NULL,"Bujumbura",NULL,"Burundian Franc (BIF)",NULL,"twemoji_flag-burundi.png",NULL,"burundi","Find the Best Guide for Employer of Record (EOR) and PEO Services in Burundi | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Burundi. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 10:25:43"
"55","4","Cameroon",NULL,"Yaounde",NULL,"Central African CFA Franc (XAF)",NULL,"twemoji_flag-cameroon.png",NULL,"cameroon","Find the Best Guide for Employer of Record (EOR) and PEO Services in Cameroon | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Cameroon. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-12 10:25:48"
"56","4","Cape Verde",NULL,"Praia",NULL,"Cape Verdean Escudo (CVE)",NULL,"twemoji_flag-cape-verde.png",NULL,"cape-verde","Find the Best Guide for Employer of Record (EOR) and PEO Services in Cape Verde | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Cape Verde. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-03-22 07:46:56"
"57","4","Central African Rep.",NULL,"Bangui",NULL,"Central African CFA franc (XAF)",NULL,"twemoji_flag-central-african-republic.png",NULL,"central-african-rep","Find the Best Guide for Employer of Record (EOR) and PEO Services in Central African Republic | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Central African Republic. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 10:20:10"
"58","4","Chad",NULL,"N Djamena",NULL,"Central African CFA Franc (XAF)",NULL,"twemoji_flag-chad.png",NULL,"chad","Find the Best Guide for Employer of Record (EOR) and PEO Services in Chad | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Chad. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 10:20:14"
